Date,JPM_Open,JPM_High,JPM_Low,JPM_Close,JPM_Adj_Close,JPM_Volume,JPM_Dividend,VIX_Close,RiskFreeRate_3M,RiskFreeRate_1Y,RiskFreeRate_10Y,Daily_Return,Volatility_21D,Dividend_Yield,Dividend_Growth,RiskFreeRate_3M_Decimal,RiskFreeRate_1Y_Decimal,RiskFreeRate_10Y_Decimal,VIX_Return,VIX_JPM_Corr,Rate_MA5,Rate_MA20,Interest_Rate_Momentum,Sentiment_Score,Article_Count
2018-02-01,115.7699966430664,116.98999786376953,115.4800033569336,116.87000274658203,93.06459045410156,13800600,0.0,13.470000267028809,1.48,1.89,2.78,0.01032118498019987,0.10988219475748798,0.0,0.0,0.0148,0.0189,0.0278,-0.005169844536294876,-0.24211696664861948,0.01446,0.014354999999999998,0.00010500000000000266,0.7392651271369906,0
2018-02-02,116.48999786376953,116.91999816894531,114.08999633789062,114.27999877929688,91.00212097167969,16477300,0.0,17.309999465942383,1.48,1.88,2.84,-0.022410959470661535,0.14296256745520428,0.0,0.0,0.0148,0.018799999999999997,0.028399999999999998,0.2850778858789582,-0.568229032353475,0.014600000000000002,0.01439,0.00021000000000000185,0.6710204470707357,0
2018-02-05,113.0,114.58999633789062,103.9800033569336,108.80000305175781,86.63838195800781,30097600,0.0,37.31999969482422,1.51,1.85,2.77,-0.04913988656957653,0.22484684585093986,0.0,0.0,0.0151,0.018500000000000003,0.0277,1.1559792516603906,-0.8655730195575952,0.01474,0.01445,0.0002900000000000003,0.35035712206718966,0
2018-02-06,106.8499984741211,112.4800033569336,106.61000061035156,112.11000061035156,89.274169921875,32160700,0.0,29.979999542236328,1.52,1.87,2.79,0.029969268389770473,0.24627448120484038,0.0,0.0,0.0152,0.0187,0.0279,-0.196677390477199,-0.8763105400506577,0.014900000000000002,0.014484999999999998,0.0004150000000000039,0.4758191168593434,0
2018-02-07,111.55000305175781,114.44999694824219,111.1500015258789,112.87000274658203,89.87934875488281,21878300,0.0,27.729999542236328,1.55,1.91,2.84,0.0067560061265367274,0.2469115598597506,0.0,0.0,0.0155,0.0191,0.028399999999999998,-0.07505003450150693,-0.8768883933836409,0.01508,0.01454,0.0005399999999999988,0.5107777262337989,0
2018-02-08,113.11000061035156,113.11000061035156,107.83999633789062,107.87999725341797,85.90577697753906,27425800,0.0,33.459999084472656,1.55,1.91,2.85,-0.04521712248634502,0.29541617042402857,0.0,0.0,0.0155,0.0191,0.0285,0.20663539981343337,-0.7864497218313912,0.015220000000000001,0.014604999999999998,0.0006150000000000027,0.39982940327966787,0
2018-02-09,109.0999984741211,111.05000305175781,106.2300033569336,110.04000091552734,87.62580108642578,28188000,0.0,29.059999465942383,1.55,1.89,2.83,0.019824408439379115,0.3012989418515771,0.0,0.0,0.0155,0.0189,0.028300000000000002,-0.1315002910616373,-0.7918773080872049,0.015360000000000002,0.014665000000000001,0.0006950000000000012,0.4673323972733848,0
2018-02-12,111.16999816894531,112.7300033569336,110.06999969482422,111.73999786376953,88.97954559326172,18043300,0.0,25.610000610351562,1.62,1.93,2.86,0.015331030997465012,0.30552677085943947,0.0,0.0,0.016200000000000003,0.019299999999999998,0.0286,-0.11871985268389751,-0.7967180998039924,0.01558,0.01476,0.0008199999999999995,0.5220651453773806,0
2018-02-13,111.31999969482422,113.05000305175781,110.80000305175781,112.43000030517578,89.52896881103516,16358200,0.0,24.969999313354492,1.59,1.95,2.83,0.006155728252476527,0.30080170555843544,0.0,0.0,0.0159,0.0195,0.028300000000000002,-0.024990288236790614,-0.8063995425584867,0.01572,0.01483,0.0008900000000000019,0.5250315495990642,0
2018-02-14,112.62999725341797,115.2699966430664,112.52999877929688,115.02999877929688,91.5993881225586,15186900,0.0,19.260000228881836,1.58,1.98,2.91,0.022862344997003705,0.3107361672465826,0.0,0.0,0.0158,0.019799999999999998,0.0291,-0.22867437891433284,-0.8167823732392542,0.01578,0.0149,0.0008799999999999988,0.6214980577813586,0
